Stress,CESD,N,E,O,A,C,sex
11,9,51.42 ,49.95 ,52.88 ,44.43 ,48.79 ,1
14,9,53.61 ,44.45 ,41.33 ,53.65 ,41.81 ,1
18,13,69.91 ,61.19 ,60.51 ,19.88 ,47.14 ,1
19,5,46.11 ,51.37 ,60.00 ,57.32 ,45.77 ,1
35,20,74.10 ,52.94 ,78.03 ,50.01 ,35.84 ,1
18,4,56.91 ,46.92 ,54.61 ,42.60 ,37.61 ,1
32,21,53.67 ,38.33 ,52.33 ,49.98 ,54.29 ,1
29,16,43.91 ,47.96 ,48.65 ,42.62 ,54.07 ,1
17,9,67.38 ,41.55 ,57.14 ,44.39 ,22.85 ,1
11,10,51.50 ,44.37 ,60.96 ,55.69 ,23.78 ,1
15,5,51.80 ,55.26 ,73.27 ,38.80 ,49.41 ,1
12,7,55.72 ,40.80 ,50.34 ,49.97 ,44.62 ,1
12,7,60.51 ,39.85 ,40.35 ,48.32 ,43.13 ,1
18,10,53.73 ,59.85 ,58.10 ,63.17 ,40.36 ,1
19,12,68.13 ,61.13 ,68.99 ,55.64 ,47.85 ,1
14,2,46.10 ,39.68 ,33.48 ,43.46 ,47.63 ,1
13,3,46.71 ,37.43 ,47.53 ,36.54 ,30.33 ,1
17,8,48.77 ,39.64 ,46.14 ,41.97 ,33.03 ,1
13,6,53.64 ,37.23 ,56.73 ,48.03 ,35.81 ,1
13,8,66.03 ,49.57 ,44.66 ,46.00 ,40.80 ,1
36,22,54.85 ,48.72 ,61.02 ,34.39 ,36.50 ,1
9,9,42.86 ,55.03 ,68.18 ,36.82 ,33.79 ,1
38,18,70.30 ,48.65 ,35.82 ,65.32 ,34.36 ,1
10,9,46.27 ,52.11 ,71.55 ,63.09 ,37.12 ,1
12,18,58.18 ,49.62 ,41.78 ,55.49 ,32.86 ,1
26,17,66.07 ,44.67 ,69.33 ,49.95 ,50.37 ,1
18,13,57.64 ,48.45 ,60.47 ,36.47 ,40.61 ,1
16,8,64.32 ,56.96 ,54.23 ,46.30 ,46.68 ,1
24,8,59.17 ,36.94 ,50.04 ,28.92 ,42.65 ,1
10,9,54.52 ,63.40 ,88.66 ,44.34 ,33.25 ,1
19,19,61.28 ,30.73 ,46.28 ,46.01 ,38.37 ,1
29,3,55.53 ,43.55 ,74.86 ,46.19 ,41.87 ,1
23,14,63.13 ,42.29 ,59.67 ,52.35 ,34.43 ,1
15,13,61.58 ,58.00 ,71.55 ,37.92 ,28.52 ,1
12,10,45.36 ,51.95 ,54.50 ,38.75 ,54.12 ,1
15,9,48.82 ,50.82 ,62.60 ,61.08 ,28.05 ,1
9,9,43.31 ,52.04 ,47.55 ,46.30 ,46.80 ,1
15,7,54.63 ,50.19 ,42.06 ,63.45 ,41.77 ,1
11,4,67.33 ,57.31 ,58.16 ,57.93 ,37.51 ,1
11,0,41.95 ,62.47 ,47.00 ,53.63 ,47.50 ,1
27,15,46.70 ,59.56 ,58.32 ,34.61 ,46.72 ,1
11,10,42.05 ,53.52 ,55.37 ,63.45 ,46.61 ,1
25,24,58.81 ,48.70 ,57.60 ,44.23 ,49.19 ,1
13,12,53.08 ,59.20 ,55.28 ,49.51 ,38.53 ,1
10,9,39.48 ,47.36 ,48.88 ,59.64 ,57.13 ,1
10,8,48.14 ,46.15 ,56.85 ,46.09 ,36.25 ,1
24,15,44.55 ,34.58 ,41.97 ,39.82 ,42.48 ,1
14,8,52.24 ,48.43 ,59.12 ,57.64 ,34.73 ,1
15,10,42.99 ,48.20 ,50.19 ,52.20 ,52.28 ,1
16,16,51.58 ,39.83 ,36.85 ,55.97 ,47.24 ,1
16,11,56.09 ,55.19 ,55.01 ,62.95 ,41.18 ,1
13,9,75.73 ,49.95 ,45.38 ,31.04 ,40.52 ,1
9,9,53.69 ,72.36 ,95.50 ,74.47 ,29.74 ,1
16,21,66.00 ,18.31 ,61.13 ,35.42 ,31.22 ,1
19,9,58.15 ,59.90 ,53.74 ,59.73 ,46.31 ,1
21,12,74.06 ,45.68 ,65.68 ,59.46 ,37.86 ,1
18,9,67.77 ,44.88 ,60.94 ,44.80 ,40.12 ,1
21,18,55.81 ,33.34 ,42.26 ,43.80 ,47.40 ,1
21,6,48.50 ,38.27 ,53.58 ,47.94 ,46.28 ,1
21,17,70.67 ,50.78 ,68.08 ,42.81 ,29.12 ,1
14,8,62.51 ,28.70 ,33.57 ,63.05 ,47.58 ,1
15,1,56.95 ,51.16 ,65.81 ,31.02 ,40.22 ,1
15,10,59.47 ,53.52 ,51.04 ,46.19 ,51.45 ,1
22,24,75.76 ,41.41 ,44.99 ,46.14 ,28.84 ,1
13,12,54.83 ,57.72 ,57.03 ,32.62 ,38.51 ,1
12,9,64.03 ,61.10 ,44.29 ,46.33 ,38.83 ,1
26,16,70.45 ,36.11 ,57.25 ,46.13 ,37.33 ,1
25,13,63.37 ,31.71 ,44.37 ,38.53 ,38.55 ,1
12,10,63.65 ,39.72 ,49.31 ,44.40 ,39.83 ,1
15,7,65.82 ,64.30 ,70.62 ,57.46 ,37.35 ,1
20,23,53.89 ,42.11 ,65.51 ,53.90 ,40.89 ,1
14,10,47.19 ,39.81 ,56.47 ,52.03 ,49.31 ,1
16,9,54.33 ,57.07 ,78.97 ,33.19 ,47.15 ,1
30,25,77.33 ,34.84 ,45.67 ,55.77 ,40.82 ,1
21,3,47.81 ,51.33 ,63.42 ,56.11 ,57.60 ,1
12,11,69.73 ,23.56 ,33.14 ,53.68 ,42.67 ,1
21,21,44.10 ,51.07 ,49.85 ,70.97 ,43.03 ,1
13,9,48.93 ,38.61 ,42.68 ,51.95 ,44.36 ,1
26,19,60.21 ,31.23 ,50.73 ,57.68 ,44.78 ,1
18,7,55.49 ,24.88 ,58.94 ,47.94 ,44.80 ,1
13,4,72.07 ,43.93 ,70.59 ,53.33 ,22.06 ,1
9,0,50.03 ,59.63 ,42.23 ,61.28 ,32.22 ,1
27,14,75.56 ,55.67 ,53.79 ,23.24 ,35.31 ,1
25,26,68.14 ,40.28 ,54.56 ,44.28 ,39.48 ,1
22,6,67.11 ,37.25 ,46.28 ,44.39 ,37.91 ,1
19,6,67.28 ,41.91 ,54.57 ,32.78 ,29.00 ,1
33,13,81.17 ,48.62 ,60.97 ,45.68 ,38.49 ,1
15,10,52.19 ,36.19 ,48.66 ,51.71 ,39.92 ,1
12,7,44.97 ,51.47 ,61.91 ,57.11 ,51.46 ,1
16,6,55.92 ,41.60 ,56.91 ,59.09 ,50.60 ,1
14,15,65.03 ,46.86 ,51.01 ,46.15 ,23.09 ,1
12,15,59.18 ,39.07 ,43.76 ,68.68 ,36.40 ,1
20,14,55.73 ,45.22 ,43.75 ,46.30 ,43.99 ,1
18,2,47.43 ,52.03 ,47.28 ,59.58 ,40.84 ,1
33,22,69.25 ,35.86 ,51.30 ,44.10 ,38.96 ,1
16,8,61.68 ,48.85 ,48.34 ,31.00 ,51.54 ,1
33,6,67.38 ,52.63 ,48.54 ,42.26 ,26.80 ,1
11,6,37.60 ,60.28 ,61.38 ,69.11 ,54.98 ,1
16,9,54.25 ,48.67 ,61.55 ,40.37 ,35.20 ,1
10,9,56.93 ,39.34 ,40.87 ,58.93 ,35.94 ,1
15,10,49.82 ,44.73 ,50.94 ,55.52 ,51.80 ,1
24,16,80.25 ,42.14 ,66.75 ,36.61 ,33.39 ,1
20,11,53.85 ,49.51 ,56.81 ,52.12 ,32.74 ,1
20,13,62.53 ,40.99 ,39.76 ,43.75 ,38.78 ,1
29,17,55.73 ,51.28 ,69.66 ,38.66 ,50.40 ,1
15,9,58.58 ,44.71 ,54.95 ,42.56 ,46.51 ,1
10,10,54.74 ,48.29 ,55.23 ,55.76 ,34.90 ,1
22,10,63.44 ,33.42 ,62.93 ,53.81 ,37.82 ,1
12,10,34.74 ,58.37 ,57.19 ,57.76 ,56.42 ,1
9,7,55.78 ,37.05 ,54.60 ,42.44 ,32.02 ,1
11,5,64.21 ,52.39 ,38.84 ,40.05 ,28.39 ,1
17,11,58.04 ,53.93 ,64.11 ,61.09 ,27.34 ,1
27,20,70.62 ,47.20 ,40.03 ,45.87 ,24.49 ,1
12,12,61.03 ,39.98 ,75.66 ,40.26 ,55.56 ,1
16,9,46.63 ,42.09 ,46.62 ,46.16 ,39.15 ,1
12,9,64.79 ,46.03 ,55.01 ,42.30 ,36.25 ,1
23,13,47.57 ,38.23 ,54.65 ,50.39 ,42.54 ,1
16,10,53.33 ,48.28 ,58.91 ,63.23 ,52.05 ,1
13,8,54.70 ,44.78 ,49.08 ,65.11 ,38.08 ,1
26,11,58.21 ,48.96 ,59.90 ,49.99 ,39.20 ,1
10,9,47.33 ,43.83 ,47.61 ,68.86 ,55.77 ,1
14,10,45.05 ,44.30 ,68.93 ,48.30 ,52.01 ,1
10,0,50.31 ,43.85 ,46.53 ,47.21 ,34.81 ,1
13,6,55.40 ,34.97 ,62.22 ,72.40 ,43.70 ,1
12,12,55.25 ,55.97 ,78.16 ,56.05 ,54.94 ,1
15,11,59.17 ,38.64 ,53.26 ,57.54 ,39.19 ,1
17,1,54.18 ,41.86 ,64.31 ,34.79 ,50.19 ,1
35,39,71.16 ,26.17 ,43.68 ,52.02 ,35.11 ,1
17,15,64.63 ,40.14 ,62.41 ,41.80 ,37.47 ,1
13,4,49.70 ,58.79 ,49.26 ,46.37 ,52.06 ,1
10,0,52.10 ,52.57 ,68.40 ,42.65 ,43.97 ,1
28,40,56.14 ,23.77 ,56.68 ,31.13 ,35.60 ,1
36,33,59.75 ,27.22 ,50.50 ,32.49 ,44.14 ,1
16,16,79.03 ,44.97 ,39.80 ,12.12 ,41.60 ,1
17,10,65.20 ,43.17 ,36.97 ,28.99 ,32.45 ,1
9,11,65.88 ,54.75 ,64.06 ,57.54 ,11.19 ,1
20,22,61.11 ,40.00 ,36.04 ,50.16 ,35.36 ,1
23,0,59.10 ,41.30 ,37.06 ,48.34 ,41.63 ,1
22,28,80.06 ,30.31 ,35.85 ,59.33 ,43.42 ,1
14,3,64.21 ,54.46 ,45.74 ,49.93 ,33.42 ,1
32,34,69.08 ,34.58 ,53.76 ,43.34 ,26.15 ,1
34,18,77.45 ,33.60 ,47.53 ,38.00 ,39.27 ,1
15,15,62.67 ,48.79 ,50.54 ,36.65 ,43.78 ,1
25,9,54.54 ,56.12 ,58.71 ,42.31 ,45.24 ,1
13,10,43.07 ,37.61 ,42.57 ,61.25 ,53.13 ,1
25,13,50.64 ,35.82 ,48.14 ,46.13 ,49.06 ,1
35,30,68.40 ,42.56 ,44.18 ,46.23 ,34.10 ,1
21,12,66.92 ,38.61 ,62.22 ,42.32 ,39.39 ,1
14,20,62.79 ,35.83 ,55.01 ,48.22 ,42.07 ,1
13,8,63.93 ,41.20 ,52.50 ,55.79 ,30.52 ,1
22,19,60.91 ,33.01 ,36.55 ,27.08 ,31.80 ,1
10,9,39.41 ,55.08 ,37.56 ,59.72 ,51.58 ,1
17,5,68.65 ,60.70 ,53.27 ,46.49 ,36.73 ,1
35,26,79.63 ,26.67 ,40.52 ,40.49 ,21.14 ,1
16,6,54.39 ,43.28 ,48.08 ,49.62 ,44.38 ,1
17,9,46.33 ,58.34 ,67.42 ,45.93 ,63.49 ,1
19,15,69.29 ,39.38 ,37.66 ,50.15 ,41.95 ,1
17,14,51.62 ,42.80 ,78.73 ,53.37 ,36.38 ,1
9,0,50.80 ,20.58 ,71.54 ,81.95 ,51.55 ,1
16,14,44.10 ,50.92 ,57.42 ,53.67 ,50.38 ,1
9,7,58.94 ,31.64 ,51.60 ,13.48 ,42.51 ,1
30,22,74.12 ,36.06 ,53.39 ,48.19 ,35.99 ,1
26,12,62.17 ,45.20 ,61.24 ,46.39 ,50.75 ,1
26,16,61.30 ,44.63 ,56.37 ,40.50 ,39.14 ,1
20,16,48.67 ,55.78 ,68.85 ,49.91 ,27.54 ,1
16,17,73.52 ,21.70 ,57.34 ,17.68 ,35.48 ,1
16,14,66.91 ,53.58 ,54.24 ,48.20 ,33.56 ,1
11,7,52.46 ,47.73 ,58.03 ,46.62 ,43.44 ,1
14,11,51.28 ,37.23 ,42.74 ,48.06 ,41.52 ,1
31,13,62.32 ,22.21 ,50.96 ,43.94 ,42.51 ,1
23,7,65.27 ,44.42 ,55.74 ,40.77 ,36.73 ,1
31,19,63.36 ,44.81 ,82.48 ,52.30 ,47.51 ,1
14,17,59.44 ,41.39 ,52.86 ,46.13 ,36.60 ,1
17,1,54.19 ,36.21 ,62.90 ,51.24 ,59.61 ,1
15,9,50.80 ,47.70 ,63.59 ,59.60 ,45.15 ,1
15,9,50.22 ,38.88 ,43.14 ,55.36 ,42.32 ,1
14,9,49.90 ,41.73 ,48.54 ,53.86 ,51.75 ,1
30,18,60.11 ,55.91 ,57.29 ,34.96 ,39.00 ,1
9,6,51.35 ,55.99 ,66.88 ,55.74 ,42.63 ,1
30,32,73.04 ,42.20 ,63.06 ,42.18 ,24.73 ,1
15,2,62.65 ,32.17 ,35.72 ,43.86 ,43.64 ,1
14,9,61.13 ,36.26 ,64.26 ,40.18 ,34.83 ,1
32,23,67.40 ,48.77 ,54.49 ,23.65 ,49.24 ,1
21,17,71.58 ,21.39 ,51.60 ,66.66 ,11.06 ,1
10,9,56.60 ,27.01 ,70.00 ,57.39 ,54.75 ,1
16,18,59.08 ,50.01 ,63.13 ,59.48 ,40.13 ,1
20,11,63.47 ,32.86 ,46.20 ,44.40 ,48.66 ,1
26,23,50.82 ,44.88 ,40.06 ,34.81 ,40.64 ,1
11,9,47.64 ,56.19 ,56.32 ,47.98 ,43.73 ,1
25,20,50.82 ,47.30 ,70.39 ,38.56 ,45.78 ,1
27,12,58.72 ,40.78 ,54.79 ,57.63 ,46.88 ,1
15,7,54.29 ,53.82 ,63.44 ,42.23 ,49.31 ,1
16,11,62.33 ,31.19 ,49.10 ,52.07 ,31.73 ,1
23,5,68.05 ,33.32 ,44.93 ,52.17 ,34.13 ,1
12,9,42.97 ,60.85 ,60.08 ,54.05 ,54.95 ,1
10,6,58.68 ,37.14 ,41.80 ,40.65 ,31.69 ,1
40,28,65.08 ,32.42 ,53.57 ,32.92 ,18.94 ,1
23,15,44.07 ,46.56 ,73.07 ,46.17 ,57.30 ,1
26,33,77.39 ,28.60 ,43.33 ,51.94 ,22.20 ,1
14,9,48.96 ,53.41 ,43.72 ,55.61 ,44.54 ,1
28,21,77.27 ,43.91 ,58.93 ,48.12 ,30.44 ,1
12,8,32.24 ,56.02 ,62.45 ,51.98 ,64.05 ,1
28,11,75.15 ,36.17 ,51.55 ,44.36 ,38.96 ,1
30,23,64.89 ,53.49 ,51.26 ,51.97 ,31.04 ,1
21,3,58.99 ,48.80 ,68.87 ,42.56 ,51.74 ,1
21,16,46.39 ,43.16 ,53.43 ,38.66 ,50.67 ,1
20,14,54.63 ,52.37 ,58.07 ,31.00 ,33.92 ,1
14,11,62.58 ,39.98 ,42.85 ,51.61 ,28.51 ,1
19,13,57.83 ,42.97 ,54.23 ,38.63 ,49.56 ,1
10,12,60.15 ,44.49 ,85.54 ,51.74 ,35.37 ,1
16,9,57.59 ,44.99 ,70.52 ,64.81 ,49.98 ,1
21,11,54.64 ,46.91 ,28.60 ,34.86 ,42.34 ,1
25,11,68.72 ,44.82 ,59.89 ,36.68 ,29.48 ,1
19,6,28.11 ,43.52 ,43.54 ,61.67 ,34.75 ,1
13,0,53.17 ,32.56 ,42.89 ,45.70 ,33.24 ,1
17,1,55.95 ,54.32 ,35.98 ,21.77 ,53.87 ,1
20,23,57.78 ,68.64 ,71.17 ,53.93 ,29.60 ,1
11,9,54.24 ,57.82 ,39.27 ,70.57 ,36.76 ,1
13,9,46.37 ,46.37 ,60.77 ,48.11 ,46.33 ,1
13,7,62.16 ,41.26 ,64.92 ,41.01 ,45.32 ,1
21,12,67.31 ,40.82 ,63.57 ,32.86 ,25.93 ,1
36,19,72.83 ,43.32 ,56.21 ,59.30 ,40.90 ,1
15,4,55.80 ,42.16 ,55.06 ,46.15 ,40.50 ,1
34,27,93.95 ,35.68 ,57.21 ,51.71 ,19.40 ,1
17,11,52.36 ,67.68 ,77.16 ,59.21 ,57.65 ,1
22,16,69.54 ,46.16 ,47.56 ,40.62 ,37.39 ,1
16,19,74.23 ,44.40 ,47.92 ,46.45 ,47.25 ,1
18,8,51.90 ,38.46 ,50.53 ,55.90 ,43.41 ,1
15,3,53.29 ,39.73 ,51.75 ,36.68 ,49.02 ,1
11,9,55.64 ,42.42 ,64.71 ,57.38 ,43.13 ,1
26,10,72.13 ,49.20 ,51.96 ,36.52 ,62.32 ,1
35,33,59.86 ,22.08 ,58.93 ,59.19 ,41.53 ,1
29,12,65.90 ,36.45 ,40.37 ,34.86 ,34.74 ,1
19,14,61.37 ,54.91 ,54.44 ,46.23 ,30.57 ,1
29,18,65.08 ,34.46 ,40.05 ,43.78 ,27.04 ,1
18,11,45.14 ,28.68 ,75.20 ,30.92 ,49.86 ,1
15,9,51.30 ,46.14 ,56.38 ,34.65 ,42.53 ,1
23,11,51.06 ,59.64 ,65.74 ,50.24 ,54.78 ,1
31,24,65.90 ,37.54 ,48.76 ,13.97 ,26.07 ,1
32,24,65.89 ,25.37 ,42.41 ,38.68 ,9.79 ,1
14,10,61.21 ,52.59 ,60.37 ,25.44 ,44.39 ,1
15,11,53.65 ,47.00 ,48.33 ,42.74 ,34.79 ,1
18,11,38.51 ,61.29 ,86.68 ,61.01 ,51.08 ,1
28,19,71.62 ,18.42 ,36.56 ,57.29 ,34.62 ,1
15,6,45.05 ,41.41 ,48.39 ,57.50 ,33.41 ,1
13,9,45.40 ,47.40 ,50.77 ,48.09 ,37.98 ,1
27,18,58.97 ,28.77 ,42.81 ,53.66 ,29.20 ,1
10,10,49.52 ,48.72 ,46.65 ,42.36 ,65.85 ,1
25,15,66.15 ,47.54 ,48.83 ,42.37 ,36.85 ,1
28,14,69.52 ,42.15 ,40.17 ,46.30 ,28.72 ,1
15,15,62.51 ,32.82 ,39.47 ,48.07 ,44.86 ,1
21,25,75.16 ,54.64 ,54.46 ,55.84 ,49.05 ,1
14,13,56.04 ,43.63 ,41.01 ,52.02 ,35.23 ,1
17,11,64.10 ,58.41 ,72.63 ,48.21 ,48.09 ,1
24,11,59.02 ,47.08 ,66.47 ,46.31 ,44.97 ,1
11,8,49.57 ,51.28 ,59.50 ,43.99 ,47.19 ,1
11,9,49.74 ,61.49 ,71.13 ,42.33 ,48.87 ,1
11,12,55.54 ,49.90 ,68.66 ,32.90 ,33.09 ,1
27,16,54.28 ,41.13 ,46.77 ,55.59 ,43.05 ,1
12,7,60.58 ,37.09 ,42.77 ,59.17 ,22.87 ,1
11,9,56.15 ,31.46 ,54.19 ,28.78 ,28.73 ,1
20,10,45.66 ,54.85 ,69.55 ,31.11 ,44.20 ,1
23,12,66.26 ,52.58 ,48.99 ,49.96 ,34.37 ,1
24,9,65.06 ,42.93 ,58.66 ,38.58 ,35.65 ,1
20,15,48.69 ,26.00 ,32.42 ,53.48 ,39.39 ,1
16,10,55.36 ,48.90 ,45.63 ,45.71 ,59.92 ,1
18,10,74.09 ,22.31 ,49.10 ,38.98 ,36.13 ,1
15,15,60.22 ,39.79 ,61.45 ,44.25 ,36.71 ,1
14,9,58.11 ,43.47 ,64.06 ,38.48 ,41.42 ,1
17,5,44.27 ,46.25 ,43.23 ,70.79 ,45.65 ,1
16,5,59.28 ,47.15 ,64.19 ,44.62 ,43.18 ,1
24,19,58.04 ,41.13 ,64.51 ,61.36 ,38.88 ,1
9,6,42.77 ,57.04 ,59.77 ,53.84 ,57.84 ,1
17,0,55.01 ,39.41 ,48.72 ,53.81 ,36.11 ,1
18,16,62.68 ,43.56 ,53.16 ,46.31 ,38.42 ,1
13,9,45.37 ,54.91 ,61.89 ,63.21 ,39.67 ,1
10,7,56.76 ,35.86 ,37.89 ,51.80 ,42.46 ,1
20,11,63.01 ,46.25 ,47.68 ,42.43 ,32.29 ,1
9,10,49.88 ,48.26 ,32.41 ,44.52 ,40.17 ,1
13,9,50.84 ,50.88 ,54.56 ,36.92 ,51.46 ,1
32,16,58.71 ,37.82 ,38.93 ,42.28 ,37.37 ,1
25,8,71.54 ,28.14 ,39.46 ,48.00 ,36.47 ,1
14,10,50.85 ,43.59 ,79.00 ,48.05 ,43.23 ,1
21,24,61.04 ,58.57 ,67.31 ,46.45 ,38.67 ,1
12,7,63.72 ,38.90 ,34.33 ,40.20 ,44.94 ,1
21,4,64.86 ,41.69 ,43.57 ,42.50 ,35.43 ,1
36,24,51.86 ,49.24 ,60.30 ,59.21 ,49.71 ,1
19,12,54.79 ,44.84 ,60.98 ,34.83 ,31.58 ,1
21,14,48.36 ,65.81 ,86.94 ,48.63 ,44.75 ,1
13,9,62.68 ,42.98 ,49.19 ,64.77 ,49.59 ,1
27,7,36.03 ,39.16 ,36.58 ,40.72 ,44.55 ,1
36,40,74.81 ,13.00 ,40.69 ,48.59 ,27.39 ,1
11,11,64.98 ,40.90 ,49.66 ,55.57 ,38.31 ,1
16,10,57.27 ,25.10 ,13.66 ,44.48 ,42.10 ,1
29,12,81.42 ,32.93 ,47.77 ,29.21 ,23.72 ,1
35,20,64.01 ,35.74 ,41.33 ,46.02 ,47.88 ,1
17,23,58.86 ,53.85 ,44.26 ,32.78 ,32.28 ,1
10,9,61.97 ,40.93 ,64.60 ,59.25 ,23.42 ,1
14,11,61.82 ,49.05 ,67.02 ,72.24 ,38.07 ,1
13,10,63.78 ,37.42 ,45.27 ,57.34 ,47.63 ,1
18,17,75.04 ,32.44 ,37.98 ,34.62 ,17.73 ,1
9,8,47.31 ,39.07 ,17.85 ,51.75 ,24.11 ,1
14,8,49.83 ,35.01 ,42.81 ,40.26 ,36.14 ,1
23,10,64.78 ,40.60 ,25.29 ,44.33 ,35.23 ,1
26,9,53.26 ,38.40 ,77.43 ,57.67 ,38.57 ,1
18,9,64.74 ,46.73 ,63.74 ,27.34 ,41.59 ,1
14,17,55.78 ,51.33 ,73.34 ,32.98 ,54.54 ,1
19,6,60.87 ,61.15 ,37.28 ,40.64 ,43.22 ,1
10,3,54.81 ,46.67 ,51.53 ,44.07 ,44.37 ,1
10,8,55.79 ,42.14 ,45.40 ,40.86 ,33.45 ,1
19,12,66.36 ,34.59 ,43.73 ,40.17 ,39.88 ,1
17,6,50.02 ,44.54 ,57.31 ,44.41 ,43.10 ,1
15,9,44.14 ,46.98 ,50.06 ,57.07 ,53.23 ,1
14,8,54.15 ,32.37 ,53.50 ,53.68 ,48.20 ,1
29,27,52.04 ,47.34 ,53.83 ,42.12 ,53.41 ,1
26,24,71.70 ,37.94 ,41.46 ,27.14 ,40.93 ,1
15,14,64.85 ,47.80 ,65.26 ,59.72 ,41.11 ,1
15,9,48.06 ,47.77 ,38.66 ,48.28 ,46.71 ,1
17,11,52.18 ,45.90 ,60.62 ,45.99 ,41.54 ,1
14,5,46.37 ,52.59 ,50.53 ,55.66 ,37.15 ,1
11,12,41.97 ,53.84 ,52.77 ,50.63 ,56.01 ,1
16,12,67.11 ,27.09 ,36.77 ,25.25 ,44.46 ,1
12,9,44.99 ,48.95 ,56.46 ,53.51 ,57.88 ,1
26,11,71.49 ,39.61 ,67.66 ,14.23 ,30.50 ,1
16,10,54.73 ,41.98 ,59.77 ,40.53 ,58.33 ,1
17,9,52.45 ,41.99 ,56.93 ,44.41 ,48.43 ,1
15,8,52.77 ,51.02 ,40.34 ,59.78 ,36.87 ,1
14,6,45.31 ,43.46 ,35.37 ,45.71 ,37.20 ,1
15,9,56.53 ,40.49 ,68.67 ,25.50 ,58.94 ,1
29,30,63.84 ,38.10 ,43.64 ,33.04 ,34.57 ,1
11,6,58.10 ,30.31 ,35.56 ,44.32 ,45.34 ,1
19,15,74.40 ,26.69 ,45.79 ,48.32 ,25.93 ,1
28,11,57.82 ,43.71 ,52.94 ,54.06 ,49.52 ,1
17,9,59.50 ,27.40 ,56.68 ,66.55 ,41.22 ,1
15,15,51.10 ,33.79 ,52.96 ,55.65 ,41.68 ,1
18,15,61.70 ,52.17 ,57.12 ,42.27 ,49.48 ,1
9,9,39.74 ,59.66 ,53.85 ,44.27 ,50.62 ,1
12,9,62.60 ,45.65 ,65.82 ,49.89 ,37.47 ,1
27,19,71.75 ,30.87 ,49.28 ,36.47 ,28.86 ,1
17,9,45.91 ,35.84 ,45.90 ,38.63 ,47.45 ,1
25,26,68.01 ,44.03 ,53.50 ,40.17 ,41.79 ,1
15,12,62.18 ,46.24 ,69.82 ,57.68 ,40.41 ,1
33,25,61.10 ,44.93 ,60.94 ,48.13 ,39.79 ,1
9,3,62.60 ,53.46 ,59.81 ,49.96 ,45.15 ,1
14,8,52.25 ,48.58 ,45.65 ,42.54 ,32.54 ,1
16,17,57.92 ,40.23 ,36.14 ,50.17 ,31.57 ,1
10,4,60.65 ,46.89 ,57.69 ,34.80 ,35.01 ,1
14,1,50.88 ,48.29 ,49.72 ,49.79 ,44.47 ,1
25,16,67.02 ,44.98 ,64.20 ,46.33 ,43.15 ,1
14,3,46.39 ,58.39 ,57.34 ,39.05 ,55.25 ,1
12,12,41.10 ,40.37 ,48.51 ,49.30 ,55.43 ,1
34,24,64.50 ,37.62 ,51.92 ,31.10 ,37.65 ,1
9,9,37.78 ,53.56 ,51.43 ,47.02 ,50.51 ,1
10,10,52.54 ,38.26 ,59.75 ,44.16 ,49.94 ,1
15,11,52.43 ,37.39 ,44.81 ,48.12 ,46.79 ,1
17,3,45.12 ,54.93 ,46.42 ,81.86 ,56.27 ,1
16,7,56.80 ,40.80 ,66.03 ,17.91 ,47.95 ,1
12,12,60.39 ,44.58 ,41.41 ,48.00 ,37.46 ,1
27,10,49.91 ,54.00 ,40.21 ,44.45 ,23.48 ,1
21,14,57.91 ,52.14 ,54.95 ,44.42 ,46.65 ,1
11,8,50.69 ,36.32 ,54.16 ,48.15 ,49.10 ,1
18,18,42.59 ,63.28 ,63.92 ,57.77 ,63.26 ,1
14,9,53.33 ,47.71 ,71.28 ,46.29 ,37.45 ,1
15,9,51.34 ,51.82 ,27.03 ,51.85 ,47.60 ,1
14,8,60.40 ,51.79 ,63.26 ,54.20 ,32.52 ,1
19,10,77.48 ,42.81 ,61.30 ,50.16 ,29.71 ,1
10,9,75.59 ,35.03 ,64.44 ,59.63 ,44.01 ,1
11,9,46.68 ,39.24 ,49.59 ,27.31 ,39.69 ,1
17,12,63.71 ,41.09 ,53.31 ,51.94 ,34.05 ,1
21,12,57.82 ,58.10 ,70.85 ,43.91 ,55.14 ,1
28,29,71.69 ,46.13 ,41.21 ,48.15 ,31.22 ,1
21,12,59.34 ,42.14 ,61.73 ,47.86 ,50.57 ,1
27,22,69.34 ,33.24 ,58.61 ,68.91 ,26.08 ,1
23,23,47.37 ,33.61 ,44.91 ,46.31 ,32.37 ,1
11,7,52.54 ,40.53 ,41.96 ,53.72 ,44.55 ,1
21,11,63.50 ,40.58 ,54.84 ,40.58 ,56.97 ,1
17,9,51.43 ,38.37 ,32.98 ,55.34 ,32.48 ,1
12,7,49.58 ,48.78 ,38.65 ,31.29 ,44.03 ,1
41,36,78.99 ,48.34 ,56.09 ,42.87 ,35.16 ,1
10,3,37.18 ,54.63 ,46.65 ,67.10 ,60.29 ,1
26,25,75.07 ,43.82 ,50.05 ,53.54 ,17.16 ,1
9,9,55.12 ,33.95 ,57.20 ,55.79 ,29.96 ,1
17,7,47.64 ,43.26 ,45.78 ,59.40 ,38.92 ,1
11,10,49.97 ,46.15 ,57.29 ,55.66 ,33.26 ,1
14,13,79.56 ,9.47 ,32.51 ,40.29 ,30.12 ,1
22,8,59.86 ,44.17 ,52.92 ,61.01 ,35.73 ,1
9,7,49.22 ,68.78 ,69.39 ,59.55 ,49.39 ,1
38,12,50.15 ,37.09 ,38.56 ,55.96 ,35.73 ,1
