"","title","type","year","rating","imdb_score","decade","genre"
"592","Pearl Harbor","Movie/Other",2001,"PG-13/TV-14",6.2,"2000-2009","Action/Adventure"
"593","Sesame Street","TV",1969,"G/TV-G",8.1,"1960-1969","Animation"
"594","Flirting with Disaster","Movie/Other",1996,"R/TV-MA",6.7,"1990-1999","Comedy"
"595","Sisters","Movie/Other",1973,"R/TV-MA",6.9,"1970-1979","Mystery"
"596","Jane Fonda in Five Acts","Movie/Other",2018,"PG-13/TV-14",8,"2010-2019","Documentary"
"597","Hunter Killer","Movie/Other",2018,"R/TV-MA",6.6,"2010-2019","Thriller"
"598","Becoming Jane","Movie/Other",2007,"PG/TV-PG",7.1,"2000-2009","Romance"
"599","X-Men: Dark Phoenix","Movie/Other",2019,"PG-13/TV-14",5.8,"2010-2019","Action/Adventure"
"600","The Kid Who Would Be King","Movie/Other",2019,"PG/TV-PG",6,"2010-2019","Fantasy"
"601","Pet Sematary","Movie/Other",1989,"R/TV-MA",6.6,"1980-1989","Drama"
"602","A Brief History of Time","Movie/Other",1991,"G/TV-G",7.3,"1990-1999","Documentary"
"603","Breakthrough","Movie/Other",2019,"PG/TV-PG",6.2,"2010-2019","Drama"
"604","Breakthrough","Movie/Other",2019,"PG/TV-PG",6.2,"2010-2019","Documentary"
"605","Breakthrough","TV",2015,"PG-13/TV-14",7.6,"2010-2019","Drama"
"606","Breakthrough","TV",2015,"PG-13/TV-14",7.6,"2010-2019","Documentary"
"607","Perry Mason","TV",2020,"R/TV-MA",7.2,"2020-2029","Crime"
"608","Too Big to Fail","Movie/Other",2011,"R/TV-MA",7.3,"2010-2019","Drama"
"609","Tolkien","Movie/Other",2019,"PG-13/TV-14",6.8,"2010-2019","History"
"610","Scooby-Doo, Where Are You?","TV",1969,"G/TV-G",7.8,"1960-1969","Mystery"
"611","Frantic","Movie/Other",1988,"R/TV-MA",6.9,"1980-1989","Drama"
"612","New Nightmare","Movie/Other",1994,"R/TV-MA",6.4,"1990-1999","Mystery"
"613","Running on Empty","Movie/Other",1988,"PG-13/TV-14",7.7,"1980-1989","Musical"
"614","Patch Adams","Movie/Other",1998,"PG-13/TV-14",6.8,"1990-1999","Comedy"
"615","All of Me","Movie/Other",1984,"PG/TV-PG",6.6,"1980-1989","Comedy"
"616","The Wizard of Lies","Movie/Other",2017,"R/TV-MA",6.8,"2010-2019","Biography"
"617","Due Date","Movie/Other",2010,"R/TV-MA",6.5,"2010-2019","Drama"
"618","Starter for 10","Movie/Other",2006,"PG-13/TV-14",6.7,"2000-2009","Romance"
"619","Indignation","Movie/Other",2016,"R/TV-MA",6.7,"2010-2019","Drama"
"620","Affliction","Movie/Other",1997,"R/TV-MA",7,"1990-1999","Drama"
"621","Love Life","TV",2020,"R/TV-MA",7.4,"2020-2029","Drama"
"622","Enemy Mine","Movie/Other",1985,"PG-13/TV-14",6.9,"1980-1989","Drama"
"623","Kiki's Delivery Service","Movie/Other",1989,"G/TV-G",7.8,"1980-1989","Family"
"624","The Price of Everything","Movie/Other",2018,"PG-13/TV-14",7.2,"2010-2019","Documentary"
"625","Carnivàle","TV",2003,"R/TV-MA",8.4,"2000-2009","Mystery"
"626","Space Cowboys","Movie/Other",2000,"PG-13/TV-14",6.4,"2000-2009","Thriller"
"627","Recount","Movie/Other",2008,"R/TV-MA",7.4,"2000-2009","Drama"
"628","Speedy","Movie/Other",1928,"PG/TV-PG",7.7,"1920-1929","Family"
"629","My Neighbors the Yamadas","Movie/Other",1999,"PG/TV-PG",7.2,"1990-1999","Family"
"630","Brexit: The Uncivil War","Movie/Other",2019,"PG-13/TV-14",7,"2010-2019","Biography"
"631","El Norte","Movie/Other",1983,"R/TV-MA",7.7,"1980-1989","Drama"
"632","Elvis: That's the Way It Is","Movie/Other",1970,"PG/TV-PG",8.1,"1970-1979","Documentary"
"633","The Time Traveler's Wife","Movie/Other",2009,"PG-13/TV-14",7.1,"2000-2009","Sci-Fi"
"634","Whitechapel","TV",2009,"PG/TV-PG",7.9,"2000-2009","Mystery"
"635","The Cold Blue","Movie/Other",2018,"PG/TV-PG",7.5,"2010-2019","History"
"636","Lord of the Flies","Movie/Other",1963,"PG-13/TV-14",6.9,"1960-1969","Action/Adventure"
"637","The Pelican Brief","Movie/Other",1993,"PG-13/TV-14",6.6,"1990-1999","Drama"
"638","Vinyl","TV",2016,"R/TV-MA",7.8,"2010-2019","Drama"
"639","Grandma's Boy","Movie/Other",2006,"R/TV-MA",7,"2000-2009","Comedy"
"640","Longford","Movie/Other",2006,"R/TV-MA",7.6,"2000-2009","Biography"
"641","The Ruling Class","Movie/Other",1972,"PG/TV-PG",7.5,"1970-1979","Drama"
"642","Mikey and Nicky","Movie/Other",1976,"R/TV-MA",7.4,"1970-1979","Crime"
"643","3 ½ Minutes, 10 Bullets","Movie/Other",2015,"R/TV-MA",7.2,"2010-2019","Thriller"
"644","Aqua Teen Hunger Force","TV",2000,"PG-13/TV-14",7.6,"2000-2009","Drama"
"645","The Tuskegee Airmen","Movie/Other",1995,"PG-13/TV-14",7.1,"1990-1999","Drama"
"646","Intolerable Cruelty","Movie/Other",2003,"PG-13/TV-14",6.2,"2000-2009","Romance"
"647","The Gathering Storm","Movie/Other",2002,"G/TV-G",7.5,"2000-2009","Biography"
"648","Valentine Road","Movie/Other",2013,"PG-13/TV-14",7.1,"2010-2019","Documentary"
"649","The Song Remains the Same","Movie/Other",1976,"PG/TV-PG",7.7,"1970-1979","Documentary"
"650","Togetherness","TV",2015,"R/TV-MA",7.5,"2010-2019","Drama"
"651","Crashing","TV",2017,"R/TV-MA",7.5,"2010-2019","Comedy"
"652","Dick Tracy","Movie/Other",1990,"PG/TV-PG",6.1,"1990-1999","Action/Adventure"
"653","Can't Buy Me Love","Movie/Other",1987,"PG-13/TV-14",6.8,"1980-1989","Comedy"
"654","Mrs. Fletcher","TV",2019,"R/TV-MA",7,"2010-2019","Comedy"
"655","Stakeout","Movie/Other",1987,"R/TV-MA",6.6,"1980-1989","Action/Adventure"
"656","Hostel","Movie/Other",2006,"R/TV-MA",5.9,"2000-2009","Travel"
"657","Scener ur ett äktenskap","Movie/Other",1973,"PG/TV-PG",8.4,"1970-1979","Drama"
"658","Ben 10","TV",2005,"PG/TV-PG",7.2,"2000-2009","Comedy"
"659","Ben 10","TV",2005,"PG/TV-PG",7.2,"2000-2009","Action/Adventure"
"660","Ben 10","TV",2016,"PG/TV-PG",2.5,"2010-2019","Animation"
"661","Ben 10","TV",2016,"PG/TV-PG",2.5,"2010-2019","Action/Adventure"
"662","Cries from Syria","Movie/Other",2017,"R/TV-MA",8.2,"2010-2019","Documentary"
"663","Glass","Movie/Other",2019,"PG-13/TV-14",6.7,"2010-2019","Thriller"
"664","Craig of the Creek","TV",2018,"PG/TV-PG",7.3,"2010-2019","Drama"
"665","Torchwood","TV",2006,"R/TV-MA",7.7,"2000-2009","Fantasy"
"666","Final Destination 2","Movie/Other",2003,"R/TV-MA",6.2,"2000-2009","Thriller"
"667","Bicentennial Man","Movie/Other",1999,"PG/TV-PG",6.9,"1990-1999","Comedy"
"668","Big Love","TV",2006,"R/TV-MA",7.6,"2000-2009","Drama"
"669","Ma","Movie/Other",2019,"R/TV-MA",5.6,"2010-2019","Mystery"
"670","Scoob!","Movie/Other",2020,"PG/TV-PG",5.7,"2020-2029","Action/Adventure"
"671","My Dinner with Hervé","Movie/Other",2018,"R/TV-MA",7,"2010-2019","Drama"
"672","RUN","TV",2020,"R/TV-MA",6.3,"2020-2029","Drama"
"673","The Case Against 8","Movie/Other",2014,"PG-13/TV-14",7.3,"2010-2019","Documentary"
"674","Dexter's Laboratory","TV",1996,"G/TV-G",7.9,"1990-1999","Fantasy"
"675","Legend of the Guardians: The Owls of Ga'Hoole","Movie/Other",2010,"PG/TV-PG",6.9,"2010-2019","Mystery"
"676","Transformers: Revenge of the Fallen","Movie/Other",2009,"PG-13/TV-14",6,"2000-2009","Action/Adventure"
"677","Impractical Jokers","TV",2011,"PG-13/TV-14",8.5,"2010-2019","Comedy"
"678","The Laramie Project","Movie/Other",2002,"PG-13/TV-14",7.1,"2000-2009","History"
"679","The War Room","Movie/Other",1993,"PG/TV-PG",7.3,"1990-1999","History"
"680","Ella Enchanted","Movie/Other",2004,"PG/TV-PG",6.3,"2000-2009","Fantasy"
"681","Cowboys & Aliens","Movie/Other",2011,"PG-13/TV-14",6,"2010-2019","Action/Adventure"
"682","An Ideal Husband","Movie/Other",1999,"PG-13/TV-14",6.8,"1990-1999","Comedy"
"683","The New Pope","TV",2020,"R/TV-MA",8.2,"2020-2029","Drama"
"684","The Merchant of Venice","Movie/Other",2004,"R/TV-MA",7,"2000-2009","Drama"
"685","Blast from the Past","Movie/Other",1999,"PG-13/TV-14",6.6,"1990-1999","Food"
"686","Sweet Dreams","Movie/Other",1985,"PG-13/TV-14",7.1,"1980-1989","Drama"
"687","Spanglish","Movie/Other",2004,"PG-13/TV-14",6.4,"2000-2009","Romance"
"688","The Last Wave","Movie/Other",1977,"PG/TV-PG",7,"1970-1979","Drama"
"689","Enlightened","TV",2011,"R/TV-MA",7.5,"2010-2019","Comedy"
"690","Anthony Bourdain: Parts Unknown","TV",2013,"PG/TV-PG",8.8,"2010-2019","Action/Adventure"
"691","Frankie and Johnny","Movie/Other",1991,"R/TV-MA",6.8,"1990-1999","Comedy"
"692","Far and Away","Movie/Other",1992,"PG-13/TV-14",6.6,"1990-1999","Drama"
"693","Jane Eyre","TV",2006,"PG/TV-PG",8.3,"2000-2009","Drama"
"694","The Shooting","Movie/Other",1966,"G/TV-G",6.6,"1960-1969","Action/Adventure"
"695","Avenue 5","TV",2020,"R/TV-MA",6.4,"2020-2029","Comedy"
"696","Proof","Movie/Other",2005,"PG-13/TV-14",6.7,"2000-2009","Thriller"
"697","The Lovely Bones","Movie/Other",2009,"PG-13/TV-14",6.7,"2000-2009","Fantasy"
"698","The Hobbit","Movie/Other",1977,"PG/TV-PG",6.8,"1970-1979","Fantasy"
"699","Hackers","Movie/Other",1995,"PG-13/TV-14",6.3,"1990-1999","Mystery"
"700","Eagle Eye","Movie/Other",2008,"PG-13/TV-14",6.6,"2000-2009","Action/Adventure"
"701","Ice on Fire","Movie/Other",2019,"PG/TV-PG",7.4,"2010-2019","Documentary"
"702","Rocket Science","Movie/Other",2007,"R/TV-MA",6.6,"2000-2009","Independent"
"703","The Confirmation","Movie/Other",2016,"PG-13/TV-14",6.4,"2010-2019","Comedy"
"704","Bessie","Movie/Other",2015,"R/TV-MA",6.6,"2010-2019","Drama"
"705","Looney Tunes Cartoons","TV",2020,"PG/TV-PG",8.3,"2020-2029","Action/Adventure"
"706","Sgt. Stubby: An American Hero","Movie/Other",2018,"PG/TV-PG",6.8,"2010-2019","Action/Adventure"
"707","The American","Movie/Other",2010,"R/TV-MA",6.3,"2010-2019","Crime"
"708","La Ciénaga","Movie/Other",2001,"R/TV-MA",7.1,"2000-2009","Comedy"
"709","I Am Evidence","Movie/Other",2017,"R/TV-MA",7.6,"2010-2019","Documentary"
"710","The Losers","Movie/Other",2010,"PG-13/TV-14",6.3,"2010-2019","Mystery"
"711","Rock 'n' Roll High School","Movie/Other",1979,"PG/TV-PG",6.7,"1970-1979","Musical"
"712","Cellular","Movie/Other",2004,"PG-13/TV-14",6.5,"2000-2009","Action/Adventure"
"713","This Means War","Movie/Other",2012,"PG-13/TV-14",6.3,"2010-2019","Action/Adventure"
"714","Everything Is Copy","Movie/Other",2015,"PG-13/TV-14",7.5,"2010-2019","Biography"
"715","Thin","Movie/Other",2006,"PG-13/TV-14",7.4,"2000-2009","Musical"
"716","After Truth: Disinformation and the Cost of Fake News","Movie/Other",2020,"R/TV-MA",6.9,"2020-2029","Documentary"
"717","The Postman Always Rings Twice","Movie/Other",1981,"R/TV-MA",6.6,"1980-1989","Mystery"
"718","Save the Last Dance","Movie/Other",2001,"PG-13/TV-14",6.2,"2000-2009","Family"
"719","King Arthur","Movie/Other",2004,"PG-13/TV-14",6.3,"2000-2009","History"
"720","Devil","Movie/Other",2010,"PG-13/TV-14",6.2,"2010-2019","Mystery"
"721","Real Women Have Curves","Movie/Other",2002,"PG-13/TV-14",6.8,"2000-2009","Drama"
"722","Men of a Certain Age","TV",2009,"R/TV-MA",8,"2000-2009","Comedy"
"723","The Family Stone","Movie/Other",2005,"PG-13/TV-14",6.3,"2000-2009","Drama"
"724","The Comeback","TV",2005,"R/TV-MA",8,"2000-2009","Drama"
"725","We Bare Bears","TV",2015,"PG/TV-PG",7.9,"2010-2019","Action/Adventure"
"726","The Replacements","Movie/Other",2000,"PG-13/TV-14",6.6,"2000-2009","Sport"
"727","Pandorum","Movie/Other",2009,"R/TV-MA",6.7,"2000-2009","Sci-Fi"
"728","Jim: The James Foley Story","Movie/Other",2016,"R/TV-MA",7.7,"2010-2019","Drama"
"729","Kill la Kill","TV",2013,"R/TV-MA",7.9,"2010-2019","Comedy"
"730","Last Holiday","Movie/Other",2006,"PG-13/TV-14",6.4,"2000-2009","Romance"
"731","Mapplethorpe: Look at the Pictures","Movie/Other",2016,"R/TV-MA",7.5,"2010-2019","Biography"
"732","Wimbledon","Movie/Other",2004,"PG-13/TV-14",6.3,"2000-2009","Romance"
"733","Hung","TV",2009,"R/TV-MA",7.1,"2000-2009","Comedy"
"734","The Jungle Book","Movie/Other",1994,"PG/TV-PG",6,"1990-1999","Family"
"735","The Lost Honor of Katharina Blum","Movie/Other",1975,"R/TV-MA",7.4,"1970-1979","Drama"
"736","Practical Magic","Movie/Other",1998,"PG-13/TV-14",6.3,"1990-1999","Drama"
"737","Olive Kitteridge","TV",2014,"R/TV-MA",8.3,"2010-2019","Drama"
"738","Our Boys","TV",2019,"R/TV-MA",7.4,"2010-2019","Drama"
"739","My Dog Skip","Movie/Other",2000,"PG/TV-PG",7,"2000-2009","Comedy"
"740","How to Make It in America","TV",2010,"R/TV-MA",7.9,"2010-2019","Drama"
"741","Twist of Faith","Movie/Other",2005,"R/TV-MA",7.2,"2000-2009","Documentary"
"742","For Love of the Game","Movie/Other",1999,"PG-13/TV-14",6.6,"1990-1999","Romance"
"743","Metalocalypse","TV",2006,"R/TV-MA",8.2,"2000-2009","Animation"
"744","Eating Raoul","Movie/Other",1982,"R/TV-MA",6.8,"1980-1989","Crime"
"745","The Mighty Ducks","Movie/Other",1992,"PG/TV-PG",6.5,"1990-1999","Family"
"746","The Secret of My Success","Movie/Other",1987,"PG-13/TV-14",6.5,"1980-1989","Romance"
"747","Into the Arms of Strangers: Stories of the Kindertransport","Movie/Other",2000,"PG-13/TV-14",7.7,"2000-2009","History"
"748","One Fine Day","Movie/Other",1996,"PG/TV-PG",6.5,"1990-1999","Drama"
"749","Edge of Darkness","Movie/Other",2010,"R/TV-MA",6.6,"2010-2019","Action/Adventure"
"750","Real Time with Bill Maher","TV",2003,"R/TV-MA",7.4,"2000-2009","Comedy"
"751","Breslin and Hamill: Deadline Artists","Movie/Other",2018,"PG/TV-PG",8,"2010-2019","Documentary"
"752","Ulee's Gold","Movie/Other",1997,"R/TV-MA",7,"1990-1999","Drama"
"753","Snatchers","Movie/Other",2019,"R/TV-MA",5.6,"2010-2019","Horror"
"754","Heart and Souls","Movie/Other",1993,"PG-13/TV-14",7,"1990-1999","Romance"
"755","The Flintstones","TV",1960,"G/TV-G",7.5,"1960-1969","Animation"
"756","The Flintstones","TV",1960,"G/TV-G",7.5,"1960-1969","Comedy"
"757","The Flintstones","Movie/Other",1994,"PG/TV-PG",4.9,"1990-1999","Animation"
"758","The Flintstones","Movie/Other",1994,"PG/TV-PG",4.9,"1990-1999","Fantasy"
"759","David Bowie: The Last Five Years","Movie/Other",2017,"PG-13/TV-14",7.5,"2010-2019","Musical"
"760","Petra","Movie/Other",2018,"R/TV-MA",6.8,"2010-2019","Comedy"
"761","Teeth","Movie/Other",2008,"R/TV-MA",5.4,"2000-2009","Comedy"
"762","Batman: The Killing Joke","Movie/Other",2016,"R/TV-MA",6.4,"2010-2019","Animation"
"763","Ben 10: Ultimate Alien","TV",2010,"PG/TV-PG",7.5,"2010-2019","Sci-Fi"
"764","The Brink","TV",2015,"R/TV-MA",7.8,"2010-2019","Comedy"
"765","Walking and Talking","Movie/Other",1996,"R/TV-MA",6.7,"1990-1999","Drama"
"766","Johnny English","Movie/Other",2003,"PG/TV-PG",6.2,"2000-2009","Comedy"
"767","KonoSuba – God’s blessing on this wonderful world!!","TV",2016,"PG-13/TV-14",7.8,"2010-2019","Action/Adventure"
"768","Ghosts of Abu Ghraib","Movie/Other",2007,"R/TV-MA",7.8,"2000-2009","History"
"769","Broken Arrow","Movie/Other",1996,"R/TV-MA",6,"1990-1999","Action/Adventure"
"770","A Perfect Murder","Movie/Other",1998,"R/TV-MA",6.5,"1990-1999","Thriller"
"771","An Unexpected Love","Movie/Other",2018,"PG-13/TV-14",6.8,"2010-2019","Comedy"
"772","Deep Blue Sea","Movie/Other",1999,"R/TV-MA",5.9,"1990-1999","Horror"
"773","War of the Worlds","Movie/Other",2005,"PG-13/TV-14",6.5,"2000-2009","Thriller"
"774","Twins","Movie/Other",1988,"PG/TV-PG",6.1,"1980-1989","Comedy"
"775","Rock Star","Movie/Other",2001,"R/TV-MA",6.3,"2000-2009","Comedy"
"776","Ben 10: Alien Force","TV",2008,"PG/TV-PG",7.1,"2000-2009","Family"
"777","Infamous","Movie/Other",2006,"R/TV-MA",7,"2000-2009","Crime"
"778","Two Weeks Notice","Movie/Other",2002,"PG-13/TV-14",6.1,"2000-2009","Romance"
"779","Final Destination 3","Movie/Other",2006,"R/TV-MA",5.8,"2000-2009","Horror"
"780","The Hunger","Movie/Other",1983,"R/TV-MA",6.7,"1980-1989","Drama"
"781","Look Back in Anger","Movie/Other",1959,"PG/TV-PG",7,"1950-1959","Drama"
"782","Wattstax","Movie/Other",1973,"R/TV-MA",7.7,"1970-1979","Musical"
"783","The Little Rascals","Movie/Other",1994,"PG/TV-PG",6.3,"1990-1999","Comedy"
"784","Her Smell","Movie/Other",2018,"R/TV-MA",6.2,"2010-2019","Musical"
"785","Mr. Arkadin","Movie/Other",1955,"PG/TV-PG",7.3,"1950-1959","Mystery"
"786","In a Valley of Violence","Movie/Other",2016,"R/TV-MA",6,"2010-2019","Crime"
"787","Frequently Asked Questions About Time Travel","Movie/Other",2009,"PG-13/TV-14",7.1,"2000-2009","Drama"
"788","Speed Racer","Movie/Other",2008,"PG/TV-PG",6,"2000-2009","Drama"
"789","Natalie Wood: What Remains Behind","Movie/Other",2020,"PG/TV-PG",7.2,"2020-2029","Documentary"
"790","Mona Lisa Smile","Movie/Other",2003,"PG-13/TV-14",6.5,"2000-2009","Drama"
"791","Johnny English Strikes Again","Movie/Other",2018,"PG/TV-PG",6.2,"2010-2019","Comedy"
"792","Green Lantern","Movie/Other",2011,"PG-13/TV-14",5.5,"2010-2019","Fantasy"
"793","Jaws 2","Movie/Other",1978,"PG/TV-PG",5.8,"1970-1979","Mystery"
"794","Miss Bala","Movie/Other",2011,"R/TV-MA",6.5,"2010-2019","Drama"
"795","My Brilliant Career","Movie/Other",1979,"G/TV-G",7.1,"1970-1979","Biography"
"796","Major Crimes","TV",2012,"PG-13/TV-14",7.6,"2010-2019","Mystery"
"797","Bedazzled","Movie/Other",2000,"PG-13/TV-14",6,"2000-2009","Comedy"
"798","The Powerpuff Girls","TV",1998,"PG/TV-PG",7.2,"1990-1999","Comedy"
"799","The Powerpuff Girls","TV",1998,"PG/TV-PG",7.2,"1990-1999","Action/Adventure"
"800","The Powerpuff Girls","TV",2016,"PG/TV-PG",3.6,"2010-2019","Animation"
"801","The Powerpuff Girls","TV",2016,"PG/TV-PG",3.6,"2010-2019","Comedy"
"802","U.S. Marshals","Movie/Other",1998,"PG-13/TV-14",6.6,"1990-1999","Mystery"
"803","Life's Too Short","TV",2011,"PG-13/TV-14",7.5,"2010-2019","Comedy"
"804","The Night Porter","Movie/Other",1974,"R/TV-MA",6.7,"1970-1979","Drama"
"805","The Sisterhood of the Traveling Pants 2","Movie/Other",2008,"PG-13/TV-14",6.2,"2000-2009","Comedy"
"806","John Tucker Must Die","Movie/Other",2006,"PG-13/TV-14",5.8,"2000-2009","Comedy"
"807","Pure Country","Movie/Other",1992,"PG/TV-PG",7,"1990-1999","Romance"
"808","Spawn","TV",1997,"R/TV-MA",8.1,"1990-1999","Sci-Fi"
"809","Mr. Popper's Penguins","Movie/Other",2011,"PG/TV-PG",6,"2010-2019","Comedy"
"810","Planet of the Apes","Movie/Other",2001,"PG-13/TV-14",5.7,"2000-2009","Action/Adventure"
"811","Destroy All Monsters","Movie/Other",1968,"G/TV-G",6.6,"1960-1969","Horror"
"812","Sweetie","Movie/Other",1989,"R/TV-MA",6.8,"1980-1989","Comedy"
"813","Hummingbird","Movie/Other",2013,"R/TV-MA",6.2,"2010-2019","Drama"
"814","Van Helsing","Movie/Other",2004,"PG-13/TV-14",6.1,"2000-2009","Horror"
"815","Batwoman","TV",2019,"PG-13/TV-14",3.6,"2010-2019","Crime"
"816","The Special Relationship","Movie/Other",2010,"PG-13/TV-14",6.7,"2010-2019","History"
"817","Harsh Times","Movie/Other",2005,"R/TV-MA",6.9,"2000-2009","Crime"
"818","The Indian in the Cupboard","Movie/Other",1995,"PG/TV-PG",6,"1990-1999","Drama"
"819","Lifeforce","Movie/Other",1985,"R/TV-MA",6.1,"1980-1989","Action/Adventure"
"820","Teenage Mutant Ninja Turtles II: The Secret of the Ooze","Movie/Other",1991,"PG/TV-PG",6,"1990-1999","Family"
"821","Ricochet","Movie/Other",1991,"R/TV-MA",6.2,"1990-1999","Thriller"
"822","Greenberg","Movie/Other",2010,"R/TV-MA",6.1,"2010-2019","Comedy"
"823","Class Divide","Movie/Other",2016,"PG/TV-PG",7.4,"2010-2019","Documentary"
"824","Clash of the Titans","Movie/Other",2010,"PG-13/TV-14",5.8,"2010-2019","Action/Adventure"
"825","Beware the Slenderman","Movie/Other",2016,"PG-13/TV-14",6.2,"2010-2019","Crime"
"826","Wise Blood","Movie/Other",1980,"PG/TV-PG",7.1,"1980-1989","Drama"
"827","Accused","Movie/Other",2018,"R/TV-MA",6,"2010-2019","Thriller"
"828","Unfriended","Movie/Other",2015,"R/TV-MA",5.5,"2010-2019","Drama"
"829","The Honeymoon Killers","Movie/Other",1970,"R/TV-MA",7,"1970-1979","Crime"
"830","Getting On","TV",2013,"R/TV-MA",7.8,"2010-2019","Comedy"
"831","Happy Feet Two","Movie/Other",2011,"PG/TV-PG",5.9,"2010-2019","Animation"
"832","Little Boy","Movie/Other",2015,"PG-13/TV-14",7.4,"2010-2019","History"
"833","Scott & Bailey","TV",2011,"PG/TV-PG",8,"2010-2019","Drama"
"834","Foster's Home for Imaginary Friends","TV",2004,"PG/TV-PG",7.6,"2000-2009","Action/Adventure"
"835","Atlanta's Missing and Murdered: The Lost Children","TV",2020,"R/TV-MA",7.2,"2020-2029","Documentary"
"836","Batman Forever","Movie/Other",1995,"PG-13/TV-14",5.4,"1990-1999","Crime"
"837","Astro Boy","Movie/Other",2009,"PG/TV-PG",6.3,"2000-2009","Sci-Fi"
"838","Aquamarine","Movie/Other",2006,"PG/TV-PG",5.3,"2000-2009","Comedy"
"839","Freddy vs. Jason","Movie/Other",2003,"R/TV-MA",5.7,"2000-2009","Action/Adventure"
"840","A King in New York","Movie/Other",1957,"G/TV-G",7.1,"1950-1959","Drama"
"841","TMNT","Movie/Other",2007,"PG/TV-PG",6.2,"2000-2009","Comedy"
"842","If You're Not In The Obit, Eat Breakfast","Movie/Other",2017,"PG-13/TV-14",7.5,"2010-2019","Documentary"
"843","The Russia House","Movie/Other",1990,"R/TV-MA",6.1,"1990-1999","Thriller"
"844","Adam Ruins Everything","TV",2015,"PG-13/TV-14",8,"2010-2019","Animation"
"845","Tell Me You Love Me","TV",2007,"R/TV-MA",7.3,"2000-2009","Romance"
"846","No Reservations","Movie/Other",2007,"PG/TV-PG",6.3,"2000-2009","Comedy"
"847","I'm Alan Partridge","TV",1997,"R/TV-MA",8.5,"1990-1999","Comedy"
"848","At Home with Amy Sedaris","TV",2017,"R/TV-MA",7.6,"2010-2019","Home_Garden"
"849","Baltimore Rising","Movie/Other",2017,"R/TV-MA",6.2,"2010-2019","Documentary"
"850","Bastille Day","Movie/Other",2016,"R/TV-MA",6.3,"2010-2019","Crime"
"851","Unlawful Entry","Movie/Other",1992,"R/TV-MA",6.3,"1990-1999","Thriller"
"852","Diego Maradona","Movie/Other",2019,"PG-13/TV-14",7.7,"2010-2019","Documentary"
"853","Nancy Drew","TV",2019,"PG-13/TV-14",6,"2010-2019","Mystery"
"854","The Apollo","Movie/Other",2019,"PG/TV-PG",6.4,"2010-2019","Stand_up_Talk"
"855","The Daytrippers","Movie/Other",1996,"R/TV-MA",6.9,"1990-1999","Independent"
"856","Scary Movie 3","Movie/Other",2003,"R/TV-MA",5.5,"2000-2009","Comedy"
"857","Jersey Girl","Movie/Other",2004,"PG-13/TV-14",6.2,"2000-2009","Comedy"
"858","Little Giants","Movie/Other",1994,"PG/TV-PG",6.4,"1990-1999","Family"
"859","Flicka","Movie/Other",2006,"PG/TV-PG",6.1,"2000-2009","Family"
"860","The Sentence","Movie/Other",2018,"PG/TV-PG",6.7,"2010-2019","Crime"
"861","Los Espookys","TV",2019,"R/TV-MA",7.5,"2010-2019","Comedy"
"862","Unfriended: Dark Web","Movie/Other",2018,"R/TV-MA",5.9,"2010-2019","Mystery"
"863","Golden Life","TV",2015,"R/TV-MA",8.8,"2010-2019","Action/Adventure"
"864","Game of Thrones: The Last Watch","Movie/Other",2019,"R/TV-MA",7.2,"2010-2019","Documentary"
"865","Tales from Earthsea","Movie/Other",2006,"PG-13/TV-14",6.5,"2000-2009","Sci-Fi"
"866","Last Chance Harvey","Movie/Other",2008,"PG-13/TV-14",6.6,"2000-2009","Romance"
"867","Along Came Polly","Movie/Other",2004,"PG-13/TV-14",6,"2000-2009","Comedy"
"868","Imaginary Heroes","Movie/Other",2004,"R/TV-MA",7.2,"2000-2009","LGBTQ"
"869","Coyote Lake","Movie/Other",2019,"R/TV-MA",5.1,"2010-2019","Thriller"
"870","Querelle","Movie/Other",1982,"R/TV-MA",6.8,"1980-1989","Drama"
"871","The Jetsons","TV",1962,"PG/TV-PG",7,"1960-1969","Comedy"
"872","Regarding Henry","Movie/Other",1991,"PG-13/TV-14",6.7,"1990-1999","Romance"
"873","Looney Tunes: Back in Action","Movie/Other",2003,"PG/TV-PG",5.7,"2000-2009","Family"
"874","Cake","Movie/Other",2014,"R/TV-MA",6.4,"2010-2019","Drama"
"875","The Honourable Woman","TV",2014,"R/TV-MA",8.1,"2010-2019","Mystery"
"876","AVP: Alien vs. Predator","Movie/Other",2004,"PG-13/TV-14",5.6,"2000-2009","Sci-Fi"
"877","The Dead Pool","Movie/Other",1988,"R/TV-MA",6.3,"1980-1989","Action/Adventure"
"878","O.G.","Movie/Other",2018,"R/TV-MA",6.2,"2010-2019","Drama"
"879","Animals.","TV",2016,"R/TV-MA",7.2,"2010-2019","Drama"
"880","Godzilla vs. Mechagodzilla","Movie/Other",1974,"G/TV-G",6.4,"1970-1979","Horror"
"881","Eraser","Movie/Other",1996,"R/TV-MA",6.1,"1990-1999","Thriller"
"882","Icebox","Movie/Other",2018,"PG-13/TV-14",5.8,"2010-2019","Drama"
"883","The Testament of Sister New Devil","TV",2015,"R/TV-MA",6.7,"2010-2019","Fantasy"
"884","Against the Wall","Movie/Other",1994,"R/TV-MA",6.7,"1990-1999","Drama"
"885","The Great Gilly Hopkins","Movie/Other",2015,"PG/TV-PG",6.5,"2010-2019","Drama"
"886","Child's Play 2","Movie/Other",1990,"R/TV-MA",5.8,"1990-1999","Thriller"
